cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
PVT,Interneuron,GS,PVT,3,16,19,3,67,70,87,0.0027305253907476,256.837821514776,0.00806094474655628,2.91068931068931,0.0218666022151794,0.196428571428571,0.0341032873128478,0.309771825396825
RIA,Interneuron,GS,RIAL,32,21,53,196,227,423,2507,0.0786830707425774,1130.06987108233,0.0354676376587259,3.54857729989309,0.0269573935758295,0.129020467836257,0.07098707492134,0.388318162303908
RIA,Interneuron,GS,RIAR,27,22,49,212,243,455,2559.5,0.0803308015818216,1199.58539926808,0.0376494067939262,3.57927905427905,0.0301046813792311,0.121575342465753,0.0746601610141968,0.33574069338196
RIB,Interneuron,GS,RIBL,17,19,36,100,48,148,3958.83333333333,0.124249367062122,813.406755100579,0.0255290551472155,3.00235597735598,0.0170166192402589,0.158064516129032,0.039018295174203,0.384621735791091
RIB,Interneuron,GS,RIBR,17,15,32,90,38,128,1397,0.0438453329985563,605.612476787124,0.0190073591358711,3.09679487179487,0.0168448708289757,0.147540983606557,0.0337025936781855,0.33041081186573
RIF,Interneuron,GS,RIFL,6,15,21,9,48,57,329.666666666667,0.0103467034921432,118.225960976533,0.0037105630838156,2.5,0.0134743863510626,0.198067632850242,0.0230624141530679,0.340177133655395
RIF,Interneuron,GS,RIFR,10,17,27,17,36,53,331.083333333333,0.010391166070345,1289.28125263327,0.040464542484253,2.95757575757576,0.0124159368430276,0.192753623188406,0.0220419890602546,0.367584541062802
RIG,Interneuron,GS,RIGL,8,22,30,46,71,117,2969.66666666667,0.0932040256941393,502.586746464558,0.0157738606008586,2.71068931068931,0.0164428204231103,0.149305555555556,0.0344515527755487,0.328644455467372
RIG,Interneuron,GS,RIGR,18,17,35,60,59,119,1826,0.0573096478563806,978.204791412834,0.0307012990839506,2.85,0.0132372959276255,0.136752136752137,0.0271459176266878,0.298005698005698
RIH,Interneuron,GS,RIH,14,33,47,37,107,144,2206.66666666667,0.0692570041637897,1438.36303817035,0.0451435264004252,2.82424242424242,0.0088425775823139,0.0982309124767225,0.0252286159781334,0.292018045579498
RIM,Interneuron,GS,RIML,24,23,47,124,72,196,3115.5,0.0977810558031511,914.906110736027,0.0287146478794811,3.25235597735598,0.0160286321602653,0.149532710280374,0.0402531667325769,0.390787716955941
RIM,Interneuron,GS,RIMR,21,19,40,121,76,197,2553.25,0.0801346431485782,1174.803207517,0.0368716090489297,3.33449883449883,0.0168902417897617,0.133419689119171,0.0442204958651283,0.364757072950078
RIP,Interneuron,GS,RIPL,10,0,10,58,0,58,0,0,0,0,Inf,0.027805473708402,0.222222222222222,0.0400368468337061,0.318518518518519
RIP,Interneuron,GS,RIPR,12,0,12,65,0,65,0,0,0,0,Inf,0.0203222647658101,0.189393939393939,0.0330289057474043,0.30239898989899
RIR,Interneuron,GS,RIR,13,20,33,34,77,111,1556.33333333333,0.0488460653233737,731.218351024469,0.0229495433753207,2.74924242424242,0.0210486101412005,0.201348747591522,0.0434809338211428,0.461560693641619
IL1,Motor neuron,GS,IL1DL,9,5,14,25,19,44,191,0.00599460171991714,121.943760226405,0.00382724751197052,4.0770313020313,0.0246296620639909,0.202247191011236,0.0289462149025076,0.234082397003745
IL1,Motor neuron,GS,IL1DR,7,4,11,20,9,29,65.5,0.00205574038039043,61.5216458586069,0.00193087834594837,4.27021312021312,0.0220013829740894,0.235849056603774,0.0228540489625725,0.221698113207547
IL1,Motor neuron,GS,IL1L,10,11,21,17,30,47,165.5,0.00519427531228423,251.644049425476,0.00789793639525063,3.85620213120213,0.0190800775988295,0.228365384615385,0.0332687975522696,0.43075206043956
IL1,Motor neuron,GS,IL1R,10,13,23,16,30,46,200.5,0.00629276253844705,765.556091252714,0.0240272453472071,3.89857729989309,0.0155754661758955,0.192771084337349,0.0272305817799114,0.373125836680054
IL1,Motor neuron,GS,IL1VL,8,5,13,20,15,35,59,0.00185173560981734,45.1306647671203,0.00141644167871196,4.27021312021312,0.0209375497341749,0.24025974025974,0.025290503227199,0.302489177489178
IL1,Motor neuron,GS,IL1VR,9,4,13,17,13,30,127,0.00398593936350512,35.5877723858529,0.00111693466781285,4.18255078255078,0.0224247588658452,0.285714285714286,0.0267065815487124,0.361471861471861
